dataset,include_prev_context,gamma,nb_train_iterations,handle_n_setting,ratio_pretrain_train,ensemble_type,num_threads,training_time,train_time_hrs,inference_time,peak_memory,test_accuracy,,DNABERT-2,DNABERT-2-*,Old LZ Accuracy
H3,FALSE,3,5,remove,0,entropy,64,52.21,0.01450277778,1.622,537.8,87.64,,78.27,80.17,78.36
H3K14ac,FALSE,0.75,7,remove,0,entropy,64,123.52,0.03431111111,3.497,826.5,92.5,,52.57,57.42,80.36
H3K36me3,FALSE,0.75,10,remove,0,entropy,64,141.585,0.03932916667,3.823,988.7,89.28,,56.88,57.42,78.01
H3K4me1,FALSE,0.75,10,remove,0,entropy,64,126.621,0.0351725,3.412,964.5,83.18,,50.52,53,72.32
H3K4me2,FALSE,1,10,remove,0,entropy,64,122.596,0.03405444444,3.262,983,84.42,,31.13,39.89,73.22
H3K4me3,FALSE,0.1,10,remove,0,entropy,64,148.47,0.04124166667,3.962,985.7,88.78,,36.27,41.2,76.9
H3K79me3,FALSE,5,10,remove,0,entropy,64,114.569,0.03182472222,3.105,921.5,88.7,,67.39,65.46,77.88
H3K9ac,FALSE,0.1,10,remove,0,entropy,64,111.437,0.03095472222,2.988,930.3,86.79,,55.63,57.07,75.1
,,,,,,,,,,,,,,,,
H4,FALSE,5,5,remove,0,entropy,64,50.884,0.01413444444,1.566,534,88.77,,80.71,81.86,74.81
H4ac,FALSE,0.75,10,remove,0,entropy,64,137.715,0.03825416667,3.739,983.7,89.88,,50.43,50.35,76.45
,,,,,,,,,,,,,,,,
covid,FALSE,0.1,10,remove,0,entropy,64,2015.625,0.5598958333,63.275,1498.8,72.2,,71.02,68.49,53.4
,,,,,,,,,,,,,,,,
mouse0,FALSE,5,5,remove,0,entropy,64,10.465,0.002906944444,0.364,280.3,75.19,,56.26,64.23,60
mouse1,FALSE,5,5,remove,0,entropy,64,75.359,0.02093305556,2.869,547.2,85.1,,84.77,86.26,66.85
mouse2,FALSE,3,5,remove,0,entropy,64,5.312,0.001475555556,0.162,258.1,85.98,,79.32,81.28,71.95
mouse3,FALSE,5,10,remove,0,entropy,64,4.288,0.001191111111,0.126,258.5,76.99,,66.47,73.49,66.53
mouse4,FALSE,5,5,remove,0,entropy,64,22.041,0.0061225,0.809,340.3,68.83,,52.66,50.8,54.01
,,,,,,,,,,,,,,,,
prom_300_all,FALSE,3,1,remove,0,entropy,64,128.861,0.03579472222,4.174,829.6,78.72,,71.59,68.79,70.54
prom_300_notata,FALSE,3,1,remove,0,entropy,64,115.363,0.03204527778,3.762,815.3,81.36,,94.27,94.34,73.11
prom_300_tata,FALSE,3,10,remove,0,entropy,64,16.643,0.004623055556,0.57,384.9,64.27,,86.77,88.31,59.71
,,,,,,,,,,,,,,,,
prom_core_all,FALSE,5,1,remove,0,entropy,64,53.303,0.01480638889,2.144,405.3,71.88,,74.17,76.18,73.74
prom_core_notata,FALSE,3,1,remove,0,entropy,64,47.921,0.01331138889,1.917,400,73.96,,68.04,69.53,65.86
prom_core_tata,FALSE,3,3,remove,0,entropy,64,7.31,0.002030555556,0.298,259.5,75.04,,69.37,67.5,65.1
,,,,,,,,,,,,,,,,
splice,FALSE,5,10,remove,0,entropy,64,175.487,0.04874638889,4.824,1030.7,62.47,,84.99,85.93,56.53
,,,,,,,,,,,,,,,,
tf0,FALSE,5,5,remove,0,entropy,64,37.674,0.010465,0.454,394.8,80,,71.99,69.12,66.9
tf1,FALSE,3,7,remove,0,entropy,64,37.544,0.01042888889,0.527,457.6,82.4,,76.06,71.87,69.5
tf2,FALSE,3,10,remove,0,entropy,64,26.21,0.007280555556,0.453,393.6,78.9,,66.52,62.96,61.2
tf3,FALSE,3,10,remove,0,entropy,64,36.29,0.01008055556,0.467,461.9,71.2,,58.54,55.35,63.2
tf4,FALSE,5,10,remove,0,entropy,64,25.94,0.007205555556,0.465,393.3,86,,77.43,74.94,67.6